Ah Fuck!,ah fuck.wav
Cant believe youve done this!,cant believe youve done this.wav
OH! (clbcl),clbcl-oh.wav
Lecture (clbcl),clbcl-lecture.wav
SHIT! (clbcl),clbcl-shit.wav
Fuckin on of yas (clbcl),clbcl-fuckin one of yas.wav
Disgustin!,clbcl-disgusting.wav
Copystrike pewdiepie,copystrike pewds.wav
What!,pdp depress-What!.wav
Im depressed!,pdp depress-im depressed.wav
How can this happen?,pdp depress-how can this happen.wav
How can she slap!,how can she slap.wav
oh baby a triple!,oh baby a triple.wav
